"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Edition","Publisher","Address","Book title","Proceedings title","Conference location","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Abstract","Keywords","Notes","Affiliation","Language","Sub-type","Series","Archive prefix","Eprint ID","Primary class","Pages cited","School","Version"
"Conference Paper","Tokatli N,Koçak MT,Kirtay S,Göztepeli G,Aktaş İS,Altun H","","Healthcare Service Accessibility Path Planner: Unveiling a New Era of Intelligent Appointment Management Systems Based on Outpatient Prioritizing","","2023","","","1-6","","","","","","2023 Innovations in Intelligent Systems and Applications Conference (ASYU)","","2023","","","","","http://dx.doi.org/10.1109/ASYU58738.2023.10296568","10.1109/ASYU58738.2023.10296568","","","","","","","","","","","","","","",""
"Conference Paper","Guo K,Guan Y,Niu M,Ma J","","Multi-Objective Green Shop Scheduling Optimization Based on Improved Grey Wolf Algorithm","","2023","7","","1600-1605","","","","","","2023 IEEE 7th Information Technology and Mechatronics Engineering Conference (ITOEC)","","2023","","","","","http://dx.doi.org/10.1109/ITOEC57671.2023.10291279","10.1109/ITOEC57671.2023.10291279","","","","","","","","","","","","","","",""
"Conference Paper","Mansour H,Abohashima H","","Optimization of Permutation No-idle Flow Shop Green Scheduling Using Adequate Genetic Algorithm","","2023","","","103-106","","","","","","2023 5th Novel Intelligent and Leading Emerging Sciences Conference (NILES)","","2023","","","","","http://dx.doi.org/10.1109/NILES59815.2023.10296723","10.1109/NILES59815.2023.10296723","","","","","","","","","","","","","","",""
"Journal Article","Gong G,Tang J,Huang D,Luo Q,Zhu K,Peng N","","Energy-Efficient Flexible Job Shop Scheduling Problem Considering Discrete Operation Sequence Flexibility","Swarm and Evolutionary Computation","2023","","","101421","","","","","","","","2023","","","","","https://www.sciencedirect.com/science/article/pii/S2210650223001943;http://dx.doi.org/10.1016/j.swevo.2023.101421","10.1016/j.swevo.2023.101421","","","The classical flexible job shop scheduling problem (FJSP) normally assumes that operations of each job have strict sequence constraints, i.e., each operation can be processed only after its previous operation is completed. However, in the actual production, the phenomenon that some operations of a job don't have any sequence constraints is very common. With regard to this, we firstly propose a FJSP with discrete operation sequence flexibility (FJSPDS) aiming at minimizing the makespan and total energy consumption, simultaneously. An effective mathematical model is established for the FJSPDS and its validity is proved by the CPLEX; and then an improved memetic algorithm (IMA) is designed to solve the FJSPDS. In the IMA, a new flexible sequencing method for determining process plan of each job and a right-leaning decoding method are proposed. And some effective crossover and mutation operators and an effective local search operator are designed to accelerate the convergence speed and expand the solution space of the algorithm. A total of 110 FJSPDS benchmark instances are constructed to conduct numerical simulation experiments. Experimental results show that our proposed IMA has superior performance in almost all of the instances compared with three well-known evolutionary algorithms. Our proposed model and algorithm can help the production managers who work with flexible manufacturing systems to obtain optimal scheduling schemes considering operations which have or don't have sequence constraints.","Flexible job shop scheduling problem; Improved memetic algorithm; Discrete operation sequence flexibility; Flexible sequencing method; Green production","","","","","","","","","","",""
"Miscellaneous","Bauwens Gugent,Maenhout Bugent,Meersman Tugent","","An integrative approach to scheduling the pre-treatment and treatment phase in radiotherapy","","2023","","","","","","2023.","","","","","2023","","","","","http://lib.ugent.be/catalog/rug01:003144763","","","","Master of Science in Business Engineering: Operations Management","","","","","","","","","","","",""
"Journal Article","Pereira AG,Vergara LG,Merino EA,Wagner A","","Solutions in radiology services management: a literature review","Radiologia Brasileira","2015","48","5","298-304","","","Publicação do Colégio Brasileiro de Radiologia e Diagnóstico por Imagem","","","","","2015-09","","","0100-3984","","https://doi.org/10.1590/0100-3984.2014.0065;http://dx.doi.org/10.1590/0100-3984.2014.0065","10.1590/0100-3984.2014.0065","","","","","","","","","","","","","","",""
"Miscellaneous","Schuppert WL","","Optimizing computed tomography scan scheduling for sustainable energy usage : a simulation study at Medisch Spectrum Twente","","2023","","","","","","","","","","","2023-05","","","","","http://essay.utwente.nl/94959/","","","","This bachelor thesis aims to identify sustainable optimization options for reducing energy consumption of the CT scanners within the radiology department of Medisch Spectrum Twente (MST), a hospital in Enschede, the Netherlands. The research aligns with MST's objectives of sustainability, care quality, education, and scientific advancements. The Dutch government's ambitious targets to reduce CO2 emissions further emphasize the need for energy-efficient healthcare facilities. The study focuses on the scheduling problem associated with the CT scanners and utilizes a Monte Carlo simulation approach implemented in Excel VBA. Two key heuristics, namely the Longest-Expected-Processing-Time-first (LEPT) and Shortest-Expected-Processing-Time-first (SEPT) algorithms, are employed to minimize the total makespan. The simulation generates scan requests and their corresponding processing times, and the results demonstrate that implementing LEPT leads to a 26% improvement in average completion times compared to the current scheduling system. This improvement translates into a potential annual reduction of 16473 kWh in energy consumption, equivalent to the average energy consumption of three three-person households per year in the Netherlands. The research findings highlight the potential of connecting data with the CT scheduling system to improve energy efficiency, reduce CO2 emissions, and create a more sustainable hospital environment. The study contributes to the scientific understanding of scheduling in stochastic environments and provides practical insights for healthcare facilities seeking to optimize energy consumption and scheduling algorithms.","","","","","","","","","","","",""
"Journal Article","Doshi AM,Ostrow D,Gresens A,Grimmelmann R,Mazhar S,Neto E,Woodriff M,Recht M","","Fast and Frictionless: A Novel Approach to Radiology Appointment Scheduling Using a Mobile App and Recommendation Engine","Journal of Digital Imaging","2023","36","4","1285-1290","","","","","","","","2023","","","","","https://doi.org/10.1007/s10278-023-00817-w;http://dx.doi.org/10.1007/s10278-023-00817-w","10.1007/s10278-023-00817-w","","","Many outpatient radiology orders are never scheduled, which can result in adverse outcomes. Digital appointment self-scheduling provides convenience, but utilization has been low. The purpose of this study was to develop a ``frictionless''scheduling tool and evaluate the impact on utilization. The existing institutional radiology scheduling app was configured to accommodate a frictionless workflow. A recommendation engine used patient residence, past and future appointment data to generate three optimal appointment suggestions. For eligible frictionless orders, recommendations were sent in a text message. Other orders received either a text message for the non-frictionless app scheduling approach or a call-to-schedule text. Scheduling rates by type of text message and scheduling workflow were analyzed. Baseline data for a 3-month period prior to the launch of frictionless scheduling showed that 17% of orders that received an order notification text were scheduled using the app. In an 11-month period after the launch of frictionless scheduling, the rate of app scheduling was greater for orders that received a text message with recommendations (frictionless approach) versus app schedulable orders that received a text without recommendations (29% vs. 14%, p < 0.01). Thirty-nine percent of the orders that received a frictionless text and scheduled using the app used a recommendation. The most common recommendation rules chosen for scheduling included location preference of prior appointments (52%). Among appointments that were scheduled using a day or time preference, 64% were based on a rule using the time of the day. This study showed that frictionless scheduling was associated with an increased rate of app scheduling.","","","","","","","","","","","",""
"Journal Article","Pierre K,Haneberg AG,Kwak S,Peters KR,Hochhegger B,Sananmuang T,Tunlayadechanont P,Tighe PJ,Mancuso A,Forghani R","","Applications of Artificial Intelligence in the Radiology Roundtrip: Process Streamlining, Workflow Optimization, and Beyond","Seminars in Roentgenology","2023","58","2","158-169","","","","","","","","2023","","","","","https://www.sciencedirect.com/science/article/pii/S0037198X2300010X;http://dx.doi.org/10.1053/j.ro.2023.02.003","10.1053/j.ro.2023.02.003","","","There are many impactful applications of artificial intelligence (AI) in the electronic radiology roundtrip and the patient's journey through the healthcare system that go beyond diagnostic applications. These tools have the potential to improve quality and safety, optimize workflow, increase efficiency, and increase patient satisfaction. In this article, we review the role of AI for process improvement and workflow enhancement which includes applications beginning from the time of order entry, scan acquisition, applications supporting the image interpretation task, and applications supporting tasks after image interpretation such as result communication. These non-diagnostic workflow and process optimization tasks are an important part of the arsenal of potential AI tools that can streamline day to day clinical practice and patient care.","","","","","","","","","","","",""
"Journal Article","Bentayeb D,Lahrichi N,Rousseau LM","","On integrating patient appointment grids and technologist schedules in a radiology center","Health Care Management Science","2023","26","1","62-78","","","","","","","","2023","","","","","https://doi.org/10.1007/s10729-022-09618-z;http://dx.doi.org/10.1007/s10729-022-09618-z","10.1007/s10729-022-09618-z","","","Optimal patient appointment grid scheduling improves medical center performance and reduces pressure from excess demand. Appointment scheduling efficiency depends on resource management, and staff are a key resource. Personnel scheduling takes into account union rules, skills, contract types, training, leave, illness, etc. When combined with appointment scheduling constraints, the complexity of the problem increases. In this paper, we study the combination of the patient appointment grid and technologist scheduling. We present a well-detailed framework outlining our approach. We develop two versions of a mixed-integer programming model: integrated and sequential. In the first version, we elaborate the appointment grid and the technologist schedules simultaneously, while in the second version we generate them sequentially. We evaluate the proposed approach using real data from the MRI department of the Centre hospitalier de l'Universitéde Montréal (CHUM) radiology center. We study different scenarios by testing several technologist rules and planning construction methods. Obtained solutions are compared to the current CHUM scheduling approach.","","","","","","","","","","","",""
"Journal Article","Mese I,Taslicay CA,Sivrioglu AK","","Improving radiology workflow using ChatGPT and artificial intelligence","Clinical Imaging","2023","103","","109993","","","","","","","","2023","","","","","https://www.sciencedirect.com/science/article/pii/S0899707123002139;http://dx.doi.org/10.1016/j.clinimag.2023.109993","10.1016/j.clinimag.2023.109993","","","Artificial Intelligence is a branch of computer science that aims to create intelligent machines capable of performing tasks that typically require human intelligence. One of the branches of artificial intelligence is natural language processing, which is dedicated to studying the interaction between computers and human language. ChatGPT is a sophisticated natural language processing tool that can understand and respond to complex questions and commands in natural language. Radiology is a vital aspect of modern medicine that involves the use of imaging technologies to diagnose and treat medical conditions artificial intelligence, including ChatGPT, can be integrated into radiology workflows to improve efficiency, accuracy, and patient care. ChatGPT can streamline various radiology workflow steps, including patient registration, scheduling, patient check-in, image acquisition, interpretation, and reporting. While ChatGPT has the potential to transform radiology workflows, there are limitations to the technology that must be addressed, such as the potential for bias in artificial intelligence algorithms and ethical concerns. As technology continues to advance, ChatGPT is likely to become an increasingly important tool in the field of radiology, and in healthcare more broadly.","Artificial intelligence; Radiology; Natural language processing; Diagnostic techniques; ChatGPT","","","","","","","","","","",""
"Journal Article","Harris S,Claudio D","","Current Trends in Operating Room Scheduling 2015 to 2020: a Literature Review","Operations Research Forum","2022","3","","","","","","","","","","03 2022","","","","","http://dx.doi.org/10.1007/s43069-022-00134-y","10.1007/s43069-022-00134-y","","","","","","","","","","","","","","",""
"Journal Article","Tayyab A,Saif U","","A Two-Stage Genetic Artificial Bee Colony Algorithm for Solving Integrated Operating Room Planning and Scheduling Problem With Capacity Constraints of Downstream Wards","IEEE Access","2022","10","","131109-131127","","","","","","","","2022","","","","","http://dx.doi.org/10.1109/ACCESS.2022.3229709","10.1109/ACCESS.2022.3229709","","","","","","","","","","","","","","",""
"Journal Article","Tayyab A,Ullah S,Baki MF","","An Outer Approximation Method for Scheduling Elective Surgeries with Sequence Dependent Setup Times to Multiple Operating Rooms","Mathematics","2023","11","11","","","","","","","","","2023","","","2227-7390","","https://www.mdpi.com/2227-7390/11/11/2441;http://dx.doi.org/10.3390/math11112441","10.3390/math11112441","","","In this paper, operating room planning and scheduling problems have been studied. In operating room planning, the allocation of patients to operating rooms and their sequencing are critical in determining the performance of operating rooms. In this paper, three surgery scheduling decisions are considered, including the number of operating rooms to open, the allocation of surgeries to operating rooms, and the sequencing of surgeries in allocated operating rooms. All the surgeries under consideration are elective, and surgery durations are considered deterministic. Further, it is considered that the surgeries have different specialties, and each operating room can accommodate a particular specialty of surgeries, i.e., heterogeneous operating rooms are considered in the current study. Before performing a surgery, setup time is required for operating room turnover and sterilization, and it is considered sequence dependent. A mixed integer nonlinear programming (MINLP) model is developed to minimize the overtime costs of operating rooms for allocation and surgery sequencing with sequence dependent setup times. An outer approximation (OA) method is proposed to solve the problem near optimally. Experiments are conducted to compare the performance of the proposed OA method with the standard mixed integer nonlinear programming model. Computational results show the efficiency of the proposed OA method. Later, a case data from a case hospital is collected and a case study is solved.","","","","","","","","","","","",""
"Journal Article","Harris S,Claudio D","","Current Trends in Operating Room Scheduling 2015 to 2020: a Literature Review","Operations Research Forum","2022","3","1","21","","","","","","","","2022","","","","","https://doi.org/10.1007/s43069-022-00134-y;http://dx.doi.org/10.1007/s43069-022-00134-y","10.1007/s43069-022-00134-y","","","The operating room scheduling problem is a popular research topic due to its complexity and relevance. Previous literature reviews established a useful classification system for categorizing technical operating room scheduling articles through 2014. The increasing number of technical operating room scheduling articles published per year necessitates another literature review to allow researchers to react more quickly to emerging trends. This review builds upon previous classification schemes and categorizes 246 technical operating room scheduling articles from 2015 to 2020. Current trends and areas for future research are identified. Most notably, two major themes emerge. First, researchers continue to develop and innovate across each category. Second, the lack of real-life model implementation remains the greatest challenge facing the field.","","","","","","","","","","","",""
"Miscellaneous","Quak D","","A novel hybrid machine learning metaheuristic approach to create nurse rosters in a Dutch hospital","","2023","","","","","","","","","","","2023-04","","","","","http://essay.utwente.nl/94761/","","","","This research proposes a hybrid machine learning metaheuristic approach to create nurse rosters in a Dutch hospital. The machine learning models predict what person is going to work based on historical planning data and selected features. Then, the metaheuristic framework ensures feasibility and optimises the schedule further.","","","","","","","","","","","",""
"Journal Article","Spence C,Shah OA,Cebula A,Tucker K,Sochart D,Kader D,Asopa V","","Machine learning models to predict surgical case duration compared to current industry standards: scoping review","BJS Open","2023","7","6","zrad113","","","","","","","","11 2023","","","2474-9842","","https://doi.org/10.1093/bjsopen/zrad113;http://dx.doi.org/10.1093/bjsopen/zrad113","10.1093/bjsopen/zrad113","","","Surgical waiting lists have risen dramatically across the UK as a result of the COVID-19 pandemic. The effective use of operating theatres by optimal scheduling could help mitigate this, but this requires accurate case duration predictions. Current standards for predicting the duration of surgery are inaccurate. Artificial intelligence (AI) offers the potential for greater accuracy in predicting surgical case duration. This study aimed to investigate whether there is evidence to support that AI is more accurate than current industry standards at predicting surgical case duration, with a secondary aim of analysing whether the implementation of the models used produced efficiency savings.PubMed, Embase, and MEDLINE libraries were searched through to July 2023 to identify appropriate articles. PRISMA extension for scoping reviews and the Arksey and O'Malley framework were followed. Study quality was assessed using a modified version of the reporting guidelines for surgical AI papers by Farrow et al. Algorithm performance was reported using evaluation metrics.The search identified 2593 articles: 14 were suitable for inclusion and 13 reported on the accuracy of AI algorithms against industry standards, with seven demonstrating a statistically significant improvement in prediction accuracy (P < 0.05). The larger studies demonstrated the superiority of neural networks over other machine learning techniques. Efficiency savings were identified in a RCT. Significant methodological limitations were identified across most studies.The studies suggest that machine learning and deep learning models are more accurate at predicting the duration of surgery; however, further research is required to determine the best way to implement this technology.","","","","","","","","https://academic.oup.com/bjsopen/article-pdf/7/6/zrad113/52824334/zrad113.pdf","","","",""
"Conference Paper","Hamida MB,Azzouz A,Said LB","","An Adaptive Variable Neighborhood Search Algorithm to Solve Green Flexible Job Shop Problem","","2023","","","1403-1408","","","","","","2023 9th International Conference on Control, Decision and Information Technologies (CoDIT)","","2023","","","","","http://dx.doi.org/10.1109/CoDIT58514.2023.10284046","10.1109/CoDIT58514.2023.10284046","","","","","","","","","","","","","","",""
"Conference Paper","Chan G,Di Z","","Scheduling Optimization of Flexible Job Shop Problem","","2023","7","","1334-1339","","","","","","2023 IEEE 7th Information Technology and Mechatronics Engineering Conference (ITOEC)","","2023","","","","","http://dx.doi.org/10.1109/ITOEC57671.2023.10291657","10.1109/ITOEC57671.2023.10291657","","","","","","","","","","","","","","",""
"Ph.D. Thesis","Zhong P,Ng H","","Highly Available Task Scheduling in Distinctly Branched Directed Acyclic Graphs","","2023","","","","","","","School of Electrical Engineering and Computer Science (EECS), KTH","","","","2023-10-13","","","","","http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-338090","","","","Big data processing frameworks utilizing distributed frameworks to parallelize the computing of datasets have become a staple part of the data engineering and data science pipelines. One of the more known frameworks is Dask, a widely utilized distributed framework used for parallelizing data processing jobs. In Dask, the main component that traverses and plans out the execution of the job is the scheduler. Dask utilizes a centralized scheduling approach, having a single server node as the scheduler. With no failover mechanism implemented for the scheduler, the work in progress is potentially lost if the scheduler fails. As a consequence, jobs that might have been executed for hours or longer need to be restarted. In this thesis, a highly available scheduler is designed, based on Dask. We introduce a highly-available scheduler that replicates the state of the job on a distributed key-value store. The replicated schedulers allow us to design an architecture where the schedulers are able to take over the job in case of a scheduler failure. To reduce the performance overhead of replication, we further explore optimizations based on partitioning typical task graphs and sending each partition to its own scheduler. The results show that the replicated scheduler is able to tolerate server failures and is able to complete the job without restarting but at a cost of reduced throughput due to the replication. This is mitigated by our partitioning, which achieves almost linear performance gains relative to our baseline fault-tolerant scheduler, through the utilization of a parallelized scheduling architecture.","Distributed Scheduling; Fault-tolerance; Graph Partitioning; Task Graphs; Dask; Dask Distributed; Data Processing; Distribuerad Schemaläggning; Feltolerans; Grafpartitionering; Uppgiftsgrafer; Dask; Dask Distributed; Dataprocessering; Computer and Information Sciences; Data- och informationsvetenskap","2023-11-02T18:10:39.416+01:00","","","Ph.D. Thesis","","","","","","",""
"Journal Article","Shaikh TA,Rasool T,Verma P","","Machine intelligence and medical cyber-physical system architectures for smart healthcare: Taxonomy, challenges, opportunities, and possible solutions","Artificial Intelligence in Medicine","2023","146","","102692","","","","","","","","2023","","","","","https://www.sciencedirect.com/science/article/pii/S0933365723002063;http://dx.doi.org/10.1016/j.artmed.2023.102692","10.1016/j.artmed.2023.102692","","","Hospitals use medical cyber-physical systems (MCPS) more often to give patients quality continuous care. MCPS isa life-critical, context-aware, networked system of medical equipment. It has been challenging to achieve high assurance in system software, interoperability, context-aware intelligence, autonomy, security and privacy, and device certifiability due to the necessity to create complicated MCPS that are safe and efficient. The MCPS system is shown in the paper as a newly developed application case study of artificial intelligence in healthcare. Applications for various CPS-based healthcare systems are discussed, such as telehealthcare systems for managing chronic diseases (cardiovascular diseases, epilepsy, hearing loss, and respiratory diseases), supporting medication intake management, and tele-homecare systems. The goal of this study is to provide a thorough overview of the essential components of the MCPS from several angles, including design, methodology, and important enabling technologies, including sensor networks, the Internet of Things (IoT), cloud computing, and multi-agent systems. Additionally, some significant applications are investigated, such as smart cities, which are regarded as one of the key applications that will offer new services for industrial systems, transportation networks, energy distribution, monitoring of environmental changes, business and commerce applications, emergency response, and other social and recreational activities.The four levels of an MCPS's general architecture---data collecting, data aggregation, cloud processing, and action---are shown in this study. Different encryption techniques must be employed to ensure data privacy inside each layer due to the variations in hardware and communication capabilities of each layer. We compare established and new encryption techniques based on how well they support safe data exchange, secure computing, and secure storage. Our thorough experimental study of each method reveals that, although enabling innovative new features like secure sharing and safe computing, developing encryption approaches significantly increases computational and storage overhead. To increase the usability of newly developed encryption schemes in an MCPS and to provide a comprehensive list of tools and databases to assist other researchers, we provide a list of opportunities and challenges for incorporating machine intelligence-based MCPS in healthcare applications in our paper's conclusion.","Medical cyber-physical systems; Internet of things; Big data; CPS Architectures; Digital twin; Dew computing; Security and privacy","","","","","","","","","","",""
"Journal Article","Kees Y,Sauter G,Mut R,Franke B,Köster F,Hallerbach S","","ODD-based Health Monitoring and Predictive Maintenance of Degrading Vehicle Functionality","","2023","","","","","","","","","","","2023","","","","","","","","","","","","","","","","","","","","",""
"Miscellaneous","Liu Y,Wang H,Zhou H,Li M,Hou Y,Zhou S,Wang F,Hoetzlein R,Zhang R","","A Review of Reinforcement Learning for Natural Language Processing, and Applications in Healthcare","arXiv [cs.CL]","2023","","","","","","","","","","","2023","","","","","http://arxiv.org/abs/2310.18354","","","2310.18354","","","","","","","","arXiv","2310.18354","cs.CL","","",""
"Journal Article","Xia H,Sun Z,Wang Y,Zhang JZ,Kamal MM,Jasimuddin SM,Islam N","","Emergency medical supplies scheduling during public health emergencies: algorithm design based on AI techniques","International Journal of Production Research","","","","1-23","","","Taylor & Francis","","","","","","","","","","https://doi.org/10.1080/00207543.2023.2267680;http://dx.doi.org/10.1080/00207543.2023.2267680","10.1080/00207543.2023.2267680","","","Based on AI technology, this study proposes a novel large-scale emergency medical supplies scheduling (EMSS) algorithm to address the issues of low turnover efficiency of medical supplies and unbalanced supply and demand point scheduling in public health emergencies. We construct a fairness index using an improved Gini coefficient by considering the demand for emergency medical supplies (EMS), actual distribution, and the degree of emergency at disaster sites. We developed a bi-objective optimisation model with a minimum Gini index and scheduling time. We employ a heterogeneous ant colony algorithm to solve the Pareto boundary based on reinforcement learning. A reinforcement learning mechanism is introduced to update and exchange pheromones among populations, with reward factors set to adjust pheromones and improve algorithm convergence speed. The effectiveness of the algorithm for a large EMSS problem is verified by comparing its comprehensive performance against a super-large capacity evaluation index. Results demonstrate the algorithm's effectiveness in reducing convergence time and facilitating escape from local optima in EMSS problems. The algorithm addresses the issue of demand differences at each disaster point affecting fair distribution. This study optimises early-stage EMSS schemes for public health events to minimise losses and casualties while mitigating emotional distress among disaster victims.","","doi: 10.1080/00207543.2023.2267680","","","","","","","","","",""
"Conference Paper","Xiang W,Li Y,Ren Y,Jiang F,Xin C,Gupta V,Xiang C,Song X,Liu M,Li B,Shao K,Xu C,Shao W,Fu Y,Wang W,Xu C,Xu W,Lin C,Shi R,Liang Y","","Gödel: Unified Large-Scale Resource Management and Scheduling at ByteDance","","2023","","","308-323","","","Association for Computing Machinery","New York, NY, USA","","Proceedings of the 2023 ACM Symposium on Cloud Computing","Santa Cruz, CA, USA","2023","","","","","https://doi.org/10.1145/3620678.3624663;http://dx.doi.org/10.1145/3620678.3624663","10.1145/3620678.3624663","","","Over the last few years, at ByteDance, our compute infrastructure scale has been expanding significantly due to expedited business growth. In this journey, to meet hyper-scale growth, some business groups resorted to managing their own compute infrastructure stack running different scheduling systems such as Kubernetes, YARN which created two major pain points: the increasing resource fragmentation across different business groups and the inadequate resource elasticity between workloads of different business priorities. Isolation across different business groups (and their compute infrastructure management) leads to inefficient compute resource utilization and prevents us from serving the business growth needs in the long run.To meet these challenges, we propose a resource management and scheduling system named Gödel, which provides a unified compute infrastructure for all business groups to run their diverse workloads under a unified resource pool. It co-locates various workloads on every machine to achieve better resource utilization and elasticity. Gödel is built upon Kubernetes, the de facto open-source container orchestration system, but with significant components replaced or enhanced to accommodate various workloads at a large scale. In production, it manages clusters with tens of thousands of machines, achieves high overall resource utilization of over 60%, and scheduling throughput of up to 5000 pods per second. This paper reports on our design and implementation with Gödel. Moreover, it discusses the lessons and best practices we learned in developing and operating it in production at ByteDance's scale.","Cluster, Schedule, Resource Management","","","","","SoCC '23","","","","","",""
"Journal Article","Hidri L","","Effective Two-Phase Heuristic and Lower Bounds for Multi-Stage Flexible Flow Shop Scheduling Problem with Unloading Times","Symmetry","2023","15","11","","","","","","","","","2023","","","2073-8994","","https://www.mdpi.com/2073-8994/15/11/2005;http://dx.doi.org/10.3390/sym15112005","10.3390/sym15112005","","","This paper addresses the flexible flow shop scheduling problem with unloading operations, which commonly occurs in modern manufacturing processes like sand casting. Although only a few related works have been proposed in the literature, the significance of this problem motivates the need for efficient algorithms and the exploration of new properties. One interesting property established is the symmetry of the problem, where scheduling from the first stage to the last or vice versa yields the same optimal solution. This property enhances solution quality. Considering the problem’s theoretical complexity as strongly NP-Hard, approximate solutions are preferable, especially for medium and large-scale instances. To address this, a new two-phase heuristic is proposed, consisting of a constructive phase and an improvement phase. This heuristic builds upon an existing efficient heuristic for the parallel machine-scheduling problem and extends it to incorporate unloading times efficiently. The selection of the two-phase heuristic is justified by its ability to generate high-quality schedules at each stage. Moreover, new efficient lower bounds based on estimating minimum idle time in each stage are presented, utilizing the polynomial parallel machine-scheduling problem with flow time minimization in the previous stage. These lower bounds contribute to assessing the performance of the two-phase heuristic over the relative gap performance measure. Extensive experiments are conducted on benchmark test problems, demonstrating the effectiveness of the proposed algorithms. The results indicate an average computation time of 9.92 s and a mean relative gap of only 2.80% for several jobs up to 200 and several stages up to 10.","","","","","","","","","","","",""
"Journal Article","Tampubolon FR,Devita R,Siagian SM,Hs SC,Purba SA,Sitinjak AA","","GREEN FLEXIBLE JOB SHOP SCHEDULING WITH GREY PROCESSING TIME USING NSGA-II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Journal Article","Wang Y,Han Y,Pan QK,Li H,Wang Y","","Redefining hybrid flow shop group scheduling: Unveiling a novel hybrid modeling paradigm and assessing 48 MILP and CP models","Swarm and Evolutionary Computation","2023","83","","101416","","","","","","","","2023","","","","","https://www.sciencedirect.com/science/article/pii/S221065022300189X;http://dx.doi.org/10.1016/j.swevo.2023.101416","10.1016/j.swevo.2023.101416","","","A hybrid flow shop group scheduling problem (HFGSP) involves two distinct sub-problems, the arrangement of groups and the configuration of jobs within each group. Constructing its mathematical model based on the classification of these sub-problems can help better understand the problem's characteristics. However, the existing literature fails to establish MILP models of HFGSP based on the interrelation between each subproblem and the respective process constraints satisfied by each subproblem. To address this gap, our study first categorizes all the constraints in the HFGSP according to several factors: group arrangement, job arrangement within the group, process requirements between groups, process requirements between jobs from the same group, process requirements between adjacent stages, and the relationship between the decision variables of completion time and the objective constraint. Following this classification, we construct 48 available MILP models of HFGSP. Additionally, we also propose an efficient constraint programming (CP) model of HFGSP. Numerous experiments are conducted to verify the correctness and performance of all 48 MILP models across different test instances, analyze the complexities of all models, and excavate their intrinsic characteristics. Through our evaluation for the 48 models, we observe that models 24 and 48 exhibit superior performance. This highlights the effectiveness of the hybrid modeling approach, which synergistically combines sequence-based modeling for groups and position-based adjacent modeling for jobs within each group. The utilization of this hybrid modeling approach enables the construction of high-quality MILP models for addressing the HFGSP problem. Our intention is to bridge the gap between MILP modeling of HFGSP and problem-specific algorithms, thereby providing a comprehensive understanding of the problem and offering potential solutions.","Hybrid flow shop group scheduling; Mixed integer linear programming; Constraint programming; Heuristic algorithm; Makespan","","","","","","","","","","",""
"Conference Paper","A O,H GA,A O,K R","","An Algorithm Development for Solving a Flexible Job Shop Problem (FJSP)","","2023","","","301-305","","","","","","2023 International Conference on Decision Aid Sciences and Applications (DASA)","","2023","","","","","http://dx.doi.org/10.1109/DASA59624.2023.10286596","10.1109/DASA59624.2023.10286596","","","","","","","","","","","","","","",""
"Journal Article","Burmeister SC,Guericke D,Schryen G","","A memetic NSGA-II for the multi-objective flexible job shop scheduling problem with real-time energy tariffs","Flexible Services and Manufacturing Journal","2023","","","","","","","","","","","2023","","","","","https://doi.org/10.1007/s10696-023-09517-7;http://dx.doi.org/10.1007/s10696-023-09517-7","10.1007/s10696-023-09517-7","","","Rising costs for energy are increasingly becoming a vital factor for the production planning of manufacturing companies. Manufacturers face the challenge to react to dynamic energy prices and design energy cost efficient schedules in their production planning. In the literature, the energy cost-aware Flexible Job Shop Scheduling Problem addresses minimization of both makespan and energy costs. Recent studies provide multi-objective approaches to model the trade-off of minimizing makespan and energy costs. However, the literature is limited to coarse-grained time periods and does not consider dynamic tariffs where costs change at short intervals, so that production schedules may fall short on energy costs. We aim to close this research gap by considering frequently changing real-time energy tariffs. We propose a multi-objective memetic algorithm based on the non-dominated sorting genetic algorithm (NSGA-II) with both makespan and energy cost minimization as the objectives. We evaluate our approach by conducting computational experiments using prominent FJSP-benchmark instances from the literature, which we supplement with empiric dynamic energy prices. We show results on method performance and compare the memetic NSGA-II with the results of an exact state-of-the-art solver. To investigate the trade-off between a short makespan and low energy costs, we present solutions on the approximated Pareto front and discuss our results.","","","","","","","","","","","",""
"Conference Paper","Huo S,Wu W","","Multi-objective FJSP Based on Multi-agent Reinforcement Learning Algorithm","","2023","","","341-343","","","","","","2023 6th International Conference on Computer Network, Electronic and Automation (ICCNEA)","","2023","","","","","http://dx.doi.org/10.1109/ICCNEA60107.2023.00079","10.1109/ICCNEA60107.2023.00079","","","","","","","","","","","","","","",""
"Conference Paper","Saker W,Benatia MA,Sahnoun M,Mouss NK","","Distributed Dynamics Scheduling Based Reinforcement Learning: Importance and Challenges","","2023","","","314-319","","","","","","2023 International Conference on Decision Aid Sciences and Applications (DASA)","","2023","","","","","http://dx.doi.org/10.1109/DASA59624.2023.10286796","10.1109/DASA59624.2023.10286796","","","","","","","","","","","","","","",""
